UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SE;GENERAL MAYNARD;841;401;0;14;1;22;19;0;39;10;226;67;11;0;26;3;0;0;0;0;0;2
SP;GENERAL SALGADO;7885;4574;0;293;110;703;187;0;16;27;1003;286;112;0;371;172;1;1;0;0;0;29
CE;GENERAL SAMPAIO;1827;422;0;36;2;110;21;0;0;6;1167;38;13;0;5;3;0;0;0;0;1;3
RS;GENTIL;1317;675;0;123;9;212;42;0;0;8;183;11;23;0;10;8;0;1;0;0;0;12
BA;GENTIO DO OURO;1755;531;0;32;1;403;57;0;0;21;676;12;13;0;4;3;0;1;0;0;1;0
SP;GETULINA;5185;3245;0;132;23;457;137;0;2;12;760;154;82;0;127;34;2;0;0;2;0;16
RS;GETULIO VARGAS;13642;8269;0;570;328;1368;457;1;4;47;1353;433;58;0;197;312;0;25;0;3;3;214
PI;GILBUES;2115;369;0;29;22;184;24;0;0;9;1195;211;18;0;19;29;0;0;0;0;0;6
AL;GIRAU DO PONCIANO;9737;2903;0;215;4;569;105;0;7;76;5031;623;102;0;70;17;0;0;0;0;1;14
RS;GIRUA;12026;6919;0;698;237;1491;334;0;6;58;1420;211;60;0;233;282;0;5;0;4;1;67
MG;GLAUCILANDIA;364;116;0;9;0;34;3;0;0;2;184;5;7;0;3;0;0;0;0;0;0;1
SP;GLICERIO;2467;1344;0;155;28;219;43;0;2;8;424;81;37;0;76;40;0;0;0;0;0;10
BA;GLORIA;3863;1253;0;73;3;399;21;0;3;27;1874;121;52;0;26;3;0;0;0;0;0;8
MS;GLORIA DE DOURADOS;6959;3334;0;246;29;794;143;1;34;11;1579;490;39;0;173;42;0;1;0;0;1;42
PE;GLORIA DO GOITA;7342;2137;0;261;39;435;123;1;115;80;3599;344;65;0;60;59;0;0;0;1;0;23
MT;GLORIA D'OESTE;2013;731;0;86;17;239;25;0;4;5;682;147;21;0;40;13;0;0;0;0;1;2
RS;GLORINHA;5574;3321;0;300;52;510;173;0;9;17;724;76;15;0;243;58;0;5;3;18;0;50
MA;GODOFREDO VIANA;1089;133;0;13;0;74;7;0;0;17;742;86;11;0;4;0;0;0;0;0;0;2
PR;GODOY MOREIRA;1948;868;0;75;4;227;21;0;0;5;659;46;17;0;15;3;0;0;0;1;1;6
MG;GOIABEIRA;1555;532;0;42;0;71;11;0;1;7;773;87;6;0;23;0;0;0;0;1;1;0
MG;GOIANA;1820;1143;0;45;2;124;77;0;19;8;319;8;11;0;54;0;0;2;0;0;2;6
PE;GOIANA;30497;11320;0;813;195;1443;891;0;1052;251;11271;2079;199;0;601;197;0;2;0;2;4;177
GO;GOIANAPOLIS;6952;3336;0;290;29;841;140;0;8;26;1445;499;41;0;225;39;0;0;0;0;1;32
GO;GOIANDIRA;2953;1603;0;58;5;418;57;0;3;15;541;130;7;0;96;7;0;0;0;0;1;12
GO;GOIANESIA;48664;21519;0;1320;372;4544;810;1;272;128;10423;5665;350;0;2183;752;1;1;0;5;7;311
PA;GOIANESIA DO PARA;6762;1070;0;335;58;624;68;0;0;35;3252;1072;53;0;79;100;0;0;0;0;1;15
GO;GOIANIA;1246091;642684;0;25931;6154;108716;46517;5;6441;2311;252354;58818;7203;2;59351;10700;17;133;0;65;366;18323
